HaarPSI,PSNR,SSIM,MSE,Mean HaarPSI,Std HaarPSI,Mean PSNR,Std PSNR,Mean SSIM,Std SSIM,Mean MSE,Std MSE
0.4297537788700922,26.346196673744863,0.639029339589751,0.002319414993145372,-,-,-,-,-,-,-,-
0.4729657906565655,26.487102614737005,0.6483429423509244,0.0022453694237199676,-,-,-,-,-,-,-,-
0.5230713372828003,27.911057487485902,0.6819619976897442,0.0016176760904121658,-,-,-,-,-,-,-,-
0.5218385565041831,28.255798316320803,0.7177767624271115,0.0014942293473493011,-,-,-,-,-,-,-,-
0.4852457016987471,26.529804036239263,0.6530393388704834,0.002223400213822752,-,-,-,-,-,-,-,-
0.4815214092767228,27.15075135106456,0.6754442856951032,0.0019271814706338678,-,-,-,-,-,-,-,-
0.5432465090596681,27.34965156442057,0.6968940770579145,0.0018409096930044947,-,-,-,-,-,-,-,-
0.5388460110615436,26.95060113400869,0.6710471251419937,0.002018077008371551,-,-,-,-,-,-,-,-
0.4639287137391034,27.147360730236613,0.674791353969166,0.0019286866536911346,-,-,-,-,-,-,-,-
0.5179187217373431,27.628138774810843,0.6856637303298665,0.0017265676806585677,-,-,-,-,-,-,-,-
0.47167586416114116,27.0664823093654,0.6845012994423946,0.001964941200081963,-,-,-,-,-,-,-,-
0.4943991742754918,27.404341715835542,0.6916082909786069,0.001817872581730037,-,-,-,-,-,-,-,-
0.4221923060598947,24.462282210421588,0.620157917266866,0.003579073074440289,-,-,-,-,-,-,-,-
0.4902029238811177,26.691383863641892,0.6807444105296737,0.002142197885567065,-,-,-,-,-,-,-,-
0.45222209315277245,25.792590665871916,0.6332720184990333,0.0026347492228447605,-,-,-,-,-,-,-,-
0.4575504929183815,26.295760961903692,0.6642688299430252,0.0023465080745686873,-,-,-,-,-,-,-,-
0.49035482646150724,26.58434705826686,0.7014240690392266,0.0021956510318404524,-,-,-,-,-,-,-,-
0.48004787654015757,26.24553358832432,0.6713113654202073,0.0023738037503400838,-,-,-,-,-,-,-,-
0.4799991821922437,25.423090985406354,0.6322721147931939,0.00286872810065801,-,-,-,-,-,-,-,-
0.48493012311392386,25.67242204093852,0.6478948195771317,0.0027086705915055262,-,-,-,-,-,-,-,-
0.49188740190849695,26.58551654495287,0.6741709074817167,0.002195059854483113,-,-,-,-,-,-,-,-
0.44604233028895046,24.867800246533285,0.6477719395246858,0.0032600078299061227,-,-,-,-,-,-,-,-
0.4718283763322966,26.483720385151802,0.6745537495792103,0.002247118777443642,-,-,-,-,-,-,-,-
0.4187417677819116,25.264564347505125,0.6622892177538366,0.0029753777130685703,-,-,-,-,-,-,-,-
0.42471864536170684,25.469711794590893,0.6152142037820452,0.0028380973639576717,-,-,-,-,-,-,-,-
0.4988670126187971,27.480487950471595,0.692394558887768,0.0017862768657659334,-,-,-,-,-,-,-,-
0.5153712391383067,26.88754655661159,0.6611406577228224,0.0020475910535664842,-,-,-,-,-,-,-,-
0.5159313835541367,27.512662515864193,0.688174324594194,0.001773092117332381,-,-,-,-,-,-,-,-
0.4202655823241947,25.87520557037577,0.6471768377646803,0.002585102472103725,-,-,-,-,-,-,-,-
0.4401001332784533,25.293675579550015,0.6165725070122398,0.0029555000606866348,-,-,-,-,-,-,-,-
0.47764553616001354,26.258215949566342,0.6696164695013559,0.0023668817998998364,-,-,-,-,-,-,-,-
0.5096526989638714,25.85994361415289,0.6293465456259001,0.002594203043401113,-,-,-,-,-,-,-,-
0.4699711411641649,26.436024585721217,0.676653517226258,0.0022719335760637955,-,-,-,-,-,-,-,-
0.4906884143019567,26.474865576922184,0.6583256425019962,0.0022517051108816395,-,-,-,-,-,-,-,-
0.4242094716060242,25.591052096642578,0.636022405820239,0.0027598991756262784,-,-,-,-,-,-,-,-
0.46363076751764054,26.717336893625877,0.6794657564966783,0.0021294344272162996,-,-,-,-,-,-,-,-
0.5453547367790432,27.44496929852568,0.6533148976952496,0.0018009458658504772,-,-,-,-,-,-,-,-
0.5550721054714087,28.602458107585118,0.7086542817674514,0.0013795931879148947,-,-,-,-,-,-,-,-
0.41716321382342175,26.5057670617305,0.659015289380916,0.0022357402800649525,-,-,-,-,-,-,-,-
0.47710842152260796,26.967280859790005,0.6629612801879203,0.002010341109880493,-,-,-,-,-,-,-,-
0.4583651420091595,26.455397138277,0.6784161900028471,0.002261821698316949,-,-,-,-,-,-,-,-
0.5609185935584822,28.85643319312151,0.7120392101465274,0.0013012278298418273,-,-,-,-,-,-,-,-
0.5413485001904473,28.60265338666421,0.7008708112353581,0.00137953115590794,-,-,-,-,-,-,-,-
0.5675276429354953,28.73944006705715,0.703974363896229,0.0013367578540132634,-,-,-,-,-,-,-,-
0.5070689160776439,26.595079281263928,0.6325766249360594,0.002190231844432019,-,-,-,-,-,-,-,-
0.5214664530620545,28.130262440183063,0.6863077164157404,0.0015380516938333843,-,-,-,-,-,-,-,-
0.5492435845740747,28.580549759931422,0.7101220806001692,0.0013865702948576773,-,-,-,-,-,-,-,-
0.538031606677064,27.66589126234083,0.6716755516579223,0.0017116238778895954,-,-,-,-,-,-,-,-
0.4640036483636179,25.79077432346481,0.6736975943793908,0.0026358513841638225,-,-,-,-,-,-,-,-
0.46657646721395074,26.20541352983098,0.6768152817064242,0.002395834609525423,-,-,-,-,-,-,-,-
0.5051744655544891,27.423218576728008,0.6982648657473425,0.0018099881973047418,-,-,-,-,-,-,-,-
0.5824891185954469,28.791165213439676,0.7143873892451722,0.0013209311777113192,-,-,-,-,-,-,-,-
0.5815027190054389,29.2383529352253,0.754914181880333,0.0011916838730482982,-,-,-,-,-,-,-,-
0.5390063101231837,27.98335639332627,0.7080874287077151,0.0015909686828194138,-,-,-,-,-,-,-,-
0.41901263922236964,24.759653555844512,0.5970401960652313,0.0033422070040089176,-,-,-,-,-,-,-,-
0.4175966329460071,24.32430029289122,0.6072387856917306,0.0036946116491172122,-,-,-,-,-,-,-,-
